"clustering" "splitwise"
"ufb88" 0.988699408288497 44.937865644805
"ufb89" 0.413816850303634 15.5195809714053
"ufb90" 0.413816850303634 15.5195809714053
"ufb91" 0.482066148083093 19.1216169854854
"ufb92" 0.696212260125146 30.1703867747597
"ufb93" 0.811278124459133 36.0110693661676
"ufb94" 0.337290066617014 11.3985655704439
"ufb95" 0.954434002924965 43.2198340639885
"ufb96" 0.337290066617014 11.3985655704439
"ufb97" 0.954434002924965 43.2198340639885
"ufb98" 0.599314237309809 25.2071497996374
"ufb99" 0.413816850303634 15.5195809714053
"ufb100" 0.249882292833185 6.50779464019882
"ufb101" 0.599314237309809 25.2071497996374
"ufb102" 0.543564443199596 22.32673141539
"ufb103" 0.599314237309809 25.2071497996374
"ufb104" 0.99498482818597 45.2527389821584
"ufb105" 0.998747297936168 45.4411840715714
"ufb106" 0.650022421648354 27.8104908296734
"ufb107" 0.413816850303634 15.5195809714053
"ufb108" 0.599314237309809 25.2071497996374
"ufb109" 0.696212260125146 30.1703867747597
"ufb110" 0.738284866143451 32.3117426240053
"ufb111" 0.543564443199596 22.32673141539
"ufb112" 0.954434002924965 43.2198340639885
"ufb113" 0.337290066617014 11.3985655704439
"ufb114" 0.249882292833185 6.50779464019882
"ufb115" 0.249882292833185 6.50779464019882
"ufb116" 0.249882292833185 6.50779464019882
"ufb117" 0.599314237309809 25.2071497996374
"ufb118" 0.650022421648354 27.8104908296734
"ufb119" 0.249882292833185 6.50779464019882
"ufb120" 0.249882292833185 6.50779464019882
"ufb121" 0.482066148083093 19.1216169854854
"ufb122" 0.482066148083093 19.1216169854854
"ufb123" 0.842657877202239 37.5960318668888
"ufb124" 0.870864469235364 39.0182648675719
"ufb125" 0.482066148083093 19.1216169854854
"ufb126" 0.543564443199596 22.32673141539
"ufb127" 0.870864469235364 39.0182648675719
"ufb128" 0.249882292833185 6.50779464019882
"ufb129" 0.696212260125146 30.1703867747597
"ufb130" 0.599314237309809 25.2071497996374
"ufb131" 0.650022421648354 27.8104908296734
"ufb132" 0.337290066617014 11.3985655704439
"ufb133" 0.842657877202239 37.5960318668888
"ufb134" 0.249882292833185 6.50779464019882
"ufb135" 0.413816850303634 15.5195809714053
"ufb136" 0.249882292833185 6.50779464019882
"ufb137" 0.482066148083093 19.1216169854854
"ufb138" 0.249882292833185 6.50779464019882
"ufb139" 0.249882292833185 6.50779464019882
"ufb140" 0.696212260125146 30.1703867747597
"ufb141" 1 45.5039198269194
"ufb142" 0.811278124459133 36.0110693661676
"ufb143" 0.413816850303634 15.5195809714053
"ufb144" 0.482066148083093 19.1216169854854
"ufb145" 0.337290066617014 11.3985655704439
"ufb146" 0.482066148083093 19.1216169854854
"ufb147" 0.543564443199596 22.32673141539
"ufb148" 0.249882292833185 6.50779464019882
"ufb149" 0.77655578544446 34.2536396694418
"ufb150" 0.696212260125146 30.1703867747597
"ufb151" 0.413816850303634 15.5195809714053
"ufb152" 0.543564443199596 22.32673141539
